id,logo,trading_name,user_rating,account_currencies,broker_type_id,support_options,account_type,trading_instruments,language,default_language
168,ActivTrades-Logo.png,ActivTrades,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Individual, Professional, Islamic","Forex, Metals, Commodities, Indices, Stocks, ETFs, Bonds, Cryptos",en,en
169,Startrader-logo.jpg,STARTRADER,0.00,USD,1,"Email, Live Chat","STP, ECN","Forex, Metals, Commodities, Indices, Bonds, Crypto",en,en
170,,TopFX,0.00,,1,,,,en,en
171,Trust-Capital-logo.png,"Trust Capital",0.00,"USD, EUR",1,"Email, Skype, Live chat, Phone, WhatsApp","TrustSolo, TrustTogether","Forex, Metals, Commodities, Energies, Indices, Shares, Cryptos",en,en
172,vt-markets-logo.png,"VT Markets",0.00,"USD, AUD, CAD, GBP, EUR, JPY",1,"Email, Phone, Live Chat, WhatsApp, Call Back Request","Standard STP, VIP STP, RAW ECN","Forex, Metals, Energy, Commodities, Indices, Shares, ETFs, Bonds, Cryptos",en,en
174,Amana-logo.jpg,Amana,0.00,"USD, EUR, GBP",1,"Email, Phone, Live Chat, WhatsApp, Call Back Request, Telegram","Classic, Raw","Forex, Metals, Commodities, Energies, Indices, Share CFDs, Share ETFs, Share ETP, Bonds, Futures, Cryptos",en,en
175,qsq-markets-logo.jpg,"QSQ Markets",0.00,"USD, EUR",1,"Email, Phone, Live Chat, Telegram","Standard, Pro, Elite","Forex, Metals, Commodities, Energies, Indices, Shares, Cryptos",en,en
176,exclusive-markets-logo.png,"Exclusive Markets",0.00,"USD, JPY, EUR, GBP",1,"Email, Phone, Live Chat, Call Back Request","Exclusive, Standard, Standard Plus, Cent, Shares","Forex, Metals, Commodities, Indices, Equities, CFD Stocks, CFD ETFs, CFD Cryptos",en,en
177,doo-prime-logo.png,"Doo Prime",0.00,USD,1,"Email, Phone, Live Chat","Cent, STP, ECN","Forex, Metals, Commodities, Spot Indices, US Stocks CFD, HK Stocks CFD, Futures CFD, Cryptos",en,en
178,finveo-logo.png,FINVEO,0.00,"EUR, USD",1,"Email, Live Chat, Phone, WhatsApp","Standard, Gold, Platinum, ECN Pro","Forex, Metals, Energies, Indices, Futures, Bond CFDs, Equity CFDs",en,en
179,dna-markets-logo.png,"DNA Markets",0.00,"AUD, USD, EUR, GBP, NZD, CAD, SGD",1,"Live Chat, Phone, Email","Standard, Raw","Forex, Metals, Commodities, Indices, Shares, Cryptos",en,en
180,eightcap-logo.png,Eightcap,0.00,"EUR, USD, GBP, AUD",1,"Email, Phone, Live Chat, WhatsApp","Standard, Raw","Forex, Metals, Oil, Commodities, Indices, Shares, Cryptos",en,en
