id,name,slug,applicable_for,data_type,form_type,is_public,tooltip,metadata,for_crypto,for_brokers,for_props,required,position,default_language,option_category_id,dropdown_category_id,placeholder,created_at,updated_at
77,Primary Category,primary_category,company,string,single_select,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
78,Highlights,highlights,company,text,notes,1,NULL,NULL,1,1,1,0,1,en,3,NULL,,NULL,NULL
79,Year Founded,year_funded,company,data,data,1,NULL,NULL,1,1,1,0,1,en,3,NULL,,NULL,NULL
80,Headquarters,head_quarters,company,string,textarea,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
81,Offices Location,offices_location,company,string,textarea,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
82,Employees,employees,company,string,string,1,NULL,NULL,1,1,1,0,1,en,3,NULL,,NULL,NULL
83,Rebate Payment Options,rebate_payment_options,broker,string,multiple_select,0,NULL,NULL,1,1,0,1,1,en,1,NULL,,NULL,NULL
84,Fixed spread,fixed_spread,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,1,NULL,,NULL,NULL
85,Variable spread,variable_spread,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,1,NULL,,NULL,NULL
86,Rebates,rebates,company,boolean,checkbox,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
87,Licenses and Regulations,licenses_and_regulations,company,string,notes,1,NULL,NULL,1,1,1,1,1,en,3,NULL,,NULL,NULL
88,Taker Fee,taker_fee,account_type,numeric,numberWithUnit,1,NULL,NULL,1,0,0,1,1,en,6,NULL,,NULL,NULL
89,Taker Fee URL,taker_fee_url,account_type,string,url,1,NULL,NULL,1,0,0,1,1,en,6,NULL,,NULL,NULL
90,Maker Fee,maker_fee,account_type,numeric,numberWithUnit,1,NULL,NULL,1,0,0,1,1,en,6,NULL,,NULL,NULL
91,Maker Fee URL,maker_fee_url,account_type,string,url,1,NULL,NULL,1,0,0,1,1,en,6,NULL,,NULL,NULL
92,Crypto Exchange Features,crypto_exchange_features,company,string,notes,1,NULL,NULL,1,0,0,0,1,en,3,NULL,,NULL,NULL
93,Crypto Instrument Classes,crypto_instrument_classes,broker,string,multiple_select,1,NULL,NULL,1,0,0,1,1,en,2,NULL,,NULL,NULL
94,Trading Platforms,trading_platforms,account_type,string,multiple_select,1,NULL,NULL,1,1,1,1,1,en,6,NULL,,NULL,NULL
95,Mobile Platforms,mobile_platforms,account_type,string,multiple_select,1,NULL,NULL,1,1,1,1,1,en,6,NULL,,NULL,NULL
96,Position Over Weekend,position_over_weekend,account_type,string,single_select,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
97,All Trading Strategies,all_trading_strategies,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
98,Inactivity Period,inactivity_period,account_type,string,string,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
99,Maximum Trading Days,maximum_trading_days,account_type,string,string,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
100,IP Address/ VPN/ VPS,ip_address_vpn_vps,account_type,string,single_select,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
101,Prohibited Trading Practices,prohibited_trading_practices,account_type,string,single_select,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
102,Stop Loss Requirement,stop_loss_requirement,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
103,Payout Methods,payout_methods,broker,string,multiple_select,1,NULL,NULL,0,0,1,1,1,en,2,NULL,,NULL,NULL
104,Swap Free Accounts,swap_free_accounts,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
105,Buyback,buyback,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
106,Scalling Plan,scalling_plan,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
107,Risk Limits,risk_limits,account_type,string,textarea,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
108,Other Rules,other_rules,account_type,string,textarea,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
109,Trailing Drawdown,trailing_drawdown,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
110,Free Trial Accounts,free_trial_accounts,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
111,Coaching Programs,coaching_programs,account_type,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,6,NULL,,NULL,NULL
112,Commision,commision,evaluation_steps,string,string,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
113,Commision URL,commision_url,evaluation_steps,string,url,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
114,Maximul Leverage,maximum_leverage2,evaluation_steps,string,string,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
115,Spread,spread,evaluation_steps,string,string,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
116,Spread URL,spread_url,evaluation_steps,string,url,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
117,Trading Platforms,trading_platforms2,evaluation_steps,string,multiple_select,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
118,Mobile Platforms,mobile_platforms2,evaluation_steps,string,multiple_select,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
119,Minimum Trade Size,minimum_trade_size2,evaluation_steps,numeric,numberWithUnit,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
120,Trailing Drawdown,trailing_drawdown2,evaluation_steps,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
121,Swap Free Accounts,swap_free_accounts2,evaluation_steps,boolean,checkbox,1,NULL,NULL,0,0,1,1,1,en,11,NULL,,NULL,NULL
